Company Name,Space,Business Model,About the Business,Stage,Action Date,Existing Investors,Investor Discussions,Sourcing,Ecosystem_Notes,Internal_Notes,Discussion
Aivar,AI,AI Services,Fast scaling AI implementations at large enterprises and startups by leveraging internal platforms,A,15-08-2026,Sorin,4/30/2026,Investor,,19,checked
&Done,Consumer,D2C,BPC premium brand in Haircare,Seed,01-07-2026,Allin,6/15/2026,Investor,52,,checked
Aretto,Consumer,D2C,Innovative brand with patents in kids footwear space,Seed,15-12-2026,Veltis,06-12-2026,Investor,,7,checked
Arwa Health,Health,Services,Brand of IVF chain,Seed,,Allin,6/15/2026,Investor,,,
Beacon.li,AI,AI SAAS,Beacon's product leverages AI to help Enterprise SAAS teams automate implementation at clients. This helps them reduce their implementation time from nine months down to three,A,15-06-2026,Sorin,05-04-2026,Investor,,,checked
Bima Kavach,Fintech,Fintech,"Insurance distribution of fire, safety and casualty for mid market businesses ",Seed,,Arali,06-05-2026,Investor,,34,
Blue Binary,B2B Commerce,B2B services,Engineering services like KPIT. Offers architectural services for Electrical and electronic for overseas manufacturers / brands,A,,Anicut,05-05-2026,Investor,,,
Bluecopa,AI SAAS,AI SAAS,AI-native Financial Operations (FinOps) and business observability platform that helps enterprise finance teams automate and unify their financial processes. ,A,,Dallas VC,04-03-2026,Investor,,,
Cartesian Kinetics,B2B Commerce,Full stack,Implementation of automation in older warehouses ,Seed,,Kae,5/27/2026,Investor,,,
Cynlr,Deeptech,Robotics,Robotic arm solution using vision as feedback loop,A,,Arali,06-05-2026,Investor,,33,
Enerzolv,B2B Commerce,Full stack,"Proprietary solutions for grid, power electronics and storage",Seed,15-06-2026,Kae,5/27/2026,Investor,,,
Enmovil,AI,AI SAAS,AI enabled supply chain automation company,A,,Sorin,05-04-2026,Investor,,,
Eternz,Consumer,Marketplace,Curated marketplace for fine and fashion jewelry ,A,,"Gemba,Kae","5/27/2026,6/12/2026",Investor,,,
